A,B
0.290945876,3.07E-06
0.386933882,3.07E-06
0.49030558,3.07E-06
0.586293585,3.07E-06
0.69335713,3.99E-05
0.785653289,3.99E-05
0.88533314,3.07E-06
0.988704838,3.99E-05
1.08838469,3.99E-05
1.188064542,3.99E-05
1.284052547,3.99E-05
1.383732399,3.99E-05
1.487104097,3.99E-05
1.586783949,3.99E-05
1.6864638,3.99E-05
1.782451806,3.99E-05
1.885823504,3.99E-05
1.985503356,3.99E-05
2.088875054,7.66E-05
2.184863059,7.66E-05
2.284542911,7.66E-05
2.387914609,7.66E-05
2.483902614,3.99E-05
2.587274312,7.66E-05
2.683262318,7.66E-05
2.782942169,7.66E-05
2.886313867,7.66E-05
2.985993719,7.66E-05
3.085673571,7.66E-05
3.181661576,7.66E-05
3.281341428,7.66E-05
3.384713126,7.66E-05
3.484392978,7.66E-05
3.584072829,7.66E-05
3.683752681,7.66E-05
3.787124379,0.000113415
3.886804231,0.000113415
3.986484083,0.000113415
4.082472088,0.000113415
4.18215194,0.000113415
4.285523638,0.000113415
4.385203489,0.000113415
4.481191495,0.000113415
4.5771795,0.000113415
4.680551198,0.000113415
4.78023105,0.000113415
4.879910902,0.000113415
4.9832826,0.000113415
